Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-06-28;3,0423;3,0982;3,0311;3,0638;;
2017-06-27;3,0677;3,0699;3,0255;3,0565;;
2017-06-26;2,9887;3,0432;2,9748;3,0383;;
2017-06-23;2,9035;2,9392;2,8927;2,9172;;
2017-06-22;2,8876;2,9445;2,8761;2,889;;
2017-06-21;2,8814;2,9432;2,8711;2,8851;;
2017-06-20;2,881;2,9085;2,8741;2,8868;;
2017-06-19;2,9411;2,9568;2,8715;2,8843;;
2017-06-16;3,0469;3,0704;3,0151;3,0166;;
2017-06-15;2,9395;3,051;2,9187;3,0352;;
2017-06-14;2,9544;2,9724;2,905;2,9308;;
2017-06-13;2,9939;3,0553;2,9401;2,953;;
2017-06-12;3,0088;3,0797;2,9927;3,029;;
2017-06-09;3,0327;3,063;3,0158;3,0158;;
2017-06-08;3,0032;3,0621;2,9829;3,0179;;
2017-06-07;3,0532;3,0867;2,998;2,9992;;
2017-06-06;2,979;3,0498;2,9696;3,0308;;
2017-06-02;3,0222;3,0406;2,9802;2,9802;;
2017-06-01;3,0725;3,1214;2,9867;2,996;;
2017-05-31;3,1355;3,1636;3,0515;3,0579;;
2017-05-30;3,1987;3,2268;3,1316;3,1507;;
2017-05-29;3,2314;3,2459;3,198;3,2045;;
2017-05-26;3,2864;3,3212;3,2459;3,3023;;
2017-05-25;3,295;3,3456;3,2333;3,2829;;
2017-05-24;3,228;3,3221;3,1926;3,1931;;
2017-05-23;3,3684;3,3935;3,2025;3,2087;;
2017-05-22;3,3267;3,3883;3,3032;3,3202;;
2017-05-19;3,2016;3,3448;3,2016;3,2543;;
2017-05-18;3,2018;3,2888;3,1696;3,179;;
2017-05-17;3,2155;3,2825;3,1721;3,1907;;
2017-05-16;3,3498;3,3662;3,2093;3,2129;;
2017-05-15;3,398;3,4048;3,3332;3,3465;;
2017-05-12;3,3529;3,427;3,3406;3,4174;;
2017-05-11;3,274;3,3797;3,2607;3,3508;;
2017-05-10;3,2026;3,3211;3,1898;3,2825;;
2017-05-09;3,1726;3,2369;3,1622;3,2133;;
2017-05-08;3,2266;3,2371;3,1319;3,1637;;
2017-05-05;3,1728;3,2682;3,1725;3,2573;;
2017-05-04;3,229;3,24;3,1535;3,188;;
2017-05-03;3,1721;3,2266;3,157;3,2176;;
2017-05-02;3,2222;3,261;3,1649;3,1932;;
2017-04-28;3,2386;3,2883;3,2206;3,2743;;
2017-04-27;3,2474;3,2542;3,1984;3,2332;;
2017-04-26;3,1654;3,2683;3,1613;3,2664;;
2017-04-25;3,1563;3,1691;3,1138;3,1418;;
2017-04-24;3,2067;3,2113;3,1174;3,1445;;
2017-04-21;3,2598;3,2683;3,1714;3,1778;;
2017-04-20;3,2022;3,2871;3,1885;3,2461;;
2017-04-19;3,1486;3,2643;3,1398;3,1815;;
2017-04-18;3,1441;3,1991;3,1135;3,135;;
2017-04-13;3,1471;3,2477;3,146;3,2077;;
2017-04-12;3,1542;3,2186;3,1492;3,169;;
2017-04-11;3,2375;3,2885;3,1353;3,1554;;
2017-04-10;3,2339;3,3051;3,2226;3,2296;;
2017-04-07;3,3072;3,3477;3,2473;3,2488;;
2017-04-06;3,2562;3,3505;3,2424;3,3138;;
2017-04-05;3,243;3,3595;3,243;3,2505;;
2017-04-04;3,1421;3,293;3,1219;3,2802;;
2017-04-03;3,2129;3,2756;3,1139;3,1287;;
2017-03-31;3,2092;3,252;3,1687;3,1793;;
2017-03-30;3,2121;3,2463;3,1756;3,1856;;
2017-03-29;3,1717;3,2672;3,151;3,2158;;
2017-03-28;3,0278;3,2014;3,0278;3,159;;
2017-03-27;3,1755;3,2168;3,0379;3,0421;;
2017-03-24;3,0226;3,157;3,0226;3,0621;;
2017-03-23;3,024;3,1277;3,024;3,0435;;
2017-03-22;3,07;3,1516;3,001;3,0058;;
2017-03-21;3,0558;3,1446;3,0551;3,0766;;
2017-03-20;2,8917;3,094;2,8917;3,0666;;
2017-03-17;2,8811;2,9956;2,8747;2,9409;;
2017-03-16;2,9496;3,0289;2,8892;2,8938;;
2017-03-15;2,9297;3,0392;2,9156;2,9614;;
2017-03-14;3,0271;3,1166;2,9158;2,9158;;
2017-03-13;3,0529;3,1299;2,9867;3,0018;;
2017-03-10;2,9889;3,0752;2,985;3,0086;;
2017-03-09;2,8926;3,0207;2,8766;2,9613;;
2017-03-08;2,8513;3,0149;2,8504;2,8782;;
2017-03-07;2,857;2,9526;2,8097;2,8246;;
2017-03-06;2,8992;3,0098;2,8858;2,8879;;
2017-03-03;2,7909;2,8917;2,7865;2,8045;;
2017-03-02;2,7583;2,9106;2,7542;2,7782;;
2017-03-01;2,7608;2,8765;2,7442;2,7876;;
2017-02-28;2,6834;2,842;2,6698;2,7466;;
2017-02-27;2,6932;2,7947;2,6669;2,6801;;
2017-02-24;2,7645;2,8442;2,7466;2,7526;;
